QID;Domäne;Zielobjekt;Frage;Antworttyp;Anwendbarkeit;Fragentyp;Pflichtgrad;Erwartete Evidenz;Min. Trust;Risiko-IDs;SOV-Bezug;Framework / Regulatorik;Source IDs;Follow-up / Entscheidungslogik;Scoring-Rolle;Provenienztyp;Fundstelle / Herleitung;Herleitungsnotiz
SP-01;Lieferkette & Konzentration;CloudService;Welche Unterauftragnehmer erbringen für den konkreten Service kritische oder sicherheitsrelevante Leistungen?;Liste;immer;Fakt;Basis;Subprocessor List/DORA RoI/Vertrag;4;G z.S6,S7;;"DVO 2024/2956; NIS2 supply chain";"SRC-06; SRC-09; SRC-08";unbekannt → Evidence Gap;Exposure;Fachliche Operationalisierung aus Quelle(n);"PROVENIENZREVIEW v0.5 – DORA Art. 29(2), Art. 30(2)(a); DVO (EU) 2024/2690 Annex 5.1 | SRC-06: DVO (EU) 2024/2690: Anhang, insb. Nr. 2 Risk Management sowie thematisch einschlägige NIS2-Domänen | SRC-09: DVO (EU) 2024/2956: Register-of-Information-Templates für Vertrags-, Provider- und Supply-Chain-Daten | SRC-08: DORA VO (EU) 2022/2554: Kap. II sowie Art. 28–30 zu IKT-Drittparteien, Exit und Konzentration";"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
SP-02;Lieferkette & Konzentration;Subcontractor;Welche Rangstufe, Funktion, Jurisdiktion und Betriebs-/Datenstandorte hat jeder kritische Unterauftragnehmer?;Matrix;wenn Unterauftragnehmer;Fakt;Bedingt;DORA RoI/Provider Evidence;2;G z.S1,S6,S7;;DVO 2024/2956;"SRC-09; SRC-08";Drittstaat/gemeinsamer Provider → vertiefen;Exposure;Fachliche Operationalisierung aus Quelle(n);"PROVENIENZREVIEW v0.5 – DORA Art. 30(2)(b); DVO (EU) 2024/2956 Register-of-Information-Templates | SRC-09: DVO (EU) 2024/2956: Register-of-Information-Templates für Vertrags-, Provider- und Supply-Chain-Daten | SRC-08: DORA VO (EU) 2022/2554: Kap. II sowie Art. 28–30 zu IKT-Drittparteien, Exit und Konzentration";"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
SP-03;Lieferkette & Konzentration;Dependency;Welche kritischen Workloads nutzen denselben Provider/Konzern oder dieselbe zentrale Plattformkomponente?;Portfolio-Matrix;wenn mehrere Workloads;Graph/Analyse;Bedingt;Portfolio/CMDB/Dependency Graph;3;G z.S7;;DORA Art.29;SRC-08;hohe Bündelung → Konzentrationsszenario;Concentration;Fachliche Operationalisierung aus Quelle(n);PROVENIENZREVIEW v0.5 – DORA Art. 29(1)(b): mehrere kritische/wichtige Funktionen beim selben oder eng verbundenen Provider | SRC-08: DORA VO (EU) 2022/2554: Kap. II sowie Art. 28–30 zu IKT-Drittparteien, Exit und Konzentration;"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
SP-04;Lieferkette & Konzentration;Dependency;Welche scheinbar unterschiedlichen Provider teilen denselben Unterauftragnehmer, Rechenzentrumsbetreiber, Identity Provider, DNS- oder Netzprovider?;Graph/Ja-Nein;wenn Multi-Provider;Graph/Analyse;Bedingt;Dependency Graph/DORA RoI;2;G z.S7;;"DORA Art.29; NIS2 SPOF";"SRC-06; SRC-09; SRC-08";gemeinsame Ursache → Diversifikation prüfen;Concentration;Fachliche Operationalisierung aus Quelle(n);"PROVENIENZREVIEW v0.5 – DORA Art. 29(1)-(2); DVO (EU) 2024/2690 Annex 2.1.2(d) und 5.1 | SRC-06: DVO (EU) 2024/2690: Anhang, insb. Nr. 2 Risk Management sowie thematisch einschlägige NIS2-Domänen | SRC-09: DVO (EU) 2024/2956: Register-of-Information-Templates für Vertrags-, Provider- und Supply-Chain-Daten | SRC-08: DORA VO (EU) 2022/2554: Kap. II sowie Art. 28–30 zu IKT-Drittparteien, Exit und Konzentration";"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
SP-05;Lieferkette & Konzentration;CloudService;Welche kritischen Hardware-, Firmware-, Basissoftware-, Container- oder Modellabhängigkeiten sind schwer substituierbar?;Liste;wenn relevant;Fakt;Bedingt;SBOM/Architektur/Provider Info;3;G z.S6;SOV-5;"CRA; NIST SP800-161; C3A SOV-5";"SRC-04; SRC-14; SRC-16";Single-source → Supply-Chain-Risk;Exposure;Fachliche Operationalisierung aus Quelle(n);"PROVENIENZREVIEW v0.5 – C3A SOV-5-01 Software Dependencies; SOV-5-02 Hardware Dependencies; SOV-5-03 External Service Dependencies | SRC-04: BSI C3A v1.0: Kriterien entlang SOV-1 bis SOV-6; konkreter SOV-Bezug ist in der jeweiligen Zeile angegeben | SRC-14: Cyber Resilience Act VO (EU) 2024/2847: Produkt-/Schwachstellen- und Lieferkettenanforderungen | SRC-16: NIST SP 800-161 Rev.1: Cybersecurity Supply Chain Risk Management";"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
SP-06;Lieferkette & Konzentration;CloudService;Liegt für relevante Software-/Containerartefakte eine nachvollziehbare Herkunfts- und Integritätskette vor?;Boolean+Evidence;wenn Softwareartefakte;Evidenz;Bedingt;SBOM/Signaturen/Provenance;2;G z.S6;;"CRA; SLSA/BSI mittelbar";SRC-14;nein → Integrity/Supply-Chain Gap;Control/Evidence;Fachliche Operationalisierung aus Quelle(n);SRC-14: Cyber Resilience Act VO (EU) 2024/2847: Produkt-/Schwachstellen- und Lieferkettenanforderungen;"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
SP-07;Lieferkette & Konzentration;Contract;Kann der Anbieter kritische Unterauftragnehmer ohne vorherige Information oder Widerspruchsmöglichkeit austauschen?;Enum;wenn Vertrag;Kontrolle;Bedingt;Vertrag/Subprocessor Terms;4;G z.S6,S12;;DORA/NIS2/C3A;"SRC-04; SRC-06; SRC-08";ja → Drift-Monitoring/Exit-Klausel;Control;Fachliche Operationalisierung aus Quelle(n);"PROVENIENZREVIEW v0.5 – DORA Art. 29(2), Art. 30(2)(a); DVO (EU) 2024/2690 Annex 5.1.4(g), 5.1.6-5.1.7 | SRC-04: BSI C3A v1.0: Kriterien entlang SOV-1 bis SOV-6; konkreter SOV-Bezug ist in der jeweiligen Zeile angegeben | SRC-06: DVO (EU) 2024/2690: Anhang, insb. Nr. 2 Risk Management sowie thematisch einschlägige NIS2-Domänen | SRC-08: DORA VO (EU) 2022/2554: Kap. II sowie Art. 28–30 zu IKT-Drittparteien, Exit und Konzentration";"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
SP-08;Lieferkette & Konzentration;Dependency;Wie schnell kann eine kritische Drittanbieter-Abhängigkeit realistisch substituiert werden?;Dauer+Alternative;wenn kritische Abhängigkeit;Fakt;Bedingt;PoC/Marktanalyse/Vertrag;4;G z.S6,S7;;DORA concentration/exit;SRC-08;lang + kritisch → hohes strukturelles Risiko;Substitutability;Fachliche Operationalisierung aus Quelle(n);SRC-08: DORA VO (EU) 2022/2554: Kap. II sowie Art. 28–30 zu IKT-Drittparteien, Exit und Konzentration;"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
SP-09;Lieferkette & Konzentration;CloudService;Liegt für den konkreten Service eine aktuelle Liste relevanter Softwarekomponenten einschließlich Herkunftsland vor?;Boolean+Datum;wenn C3A SOV-5 relevant;Evidenz;Bedingt;SBOM/Provider-Liste;2;G z.S6;SOV-5;C3A SOV-5-01;SRC-04;nein → Supply-Chain-Transparenzlücke;Evidence/Exposure;Fachliche Operationalisierung aus Quelle(n);"PROVENIENZREVIEW v0.5 – C3A SOV-5-01 Software Dependencies | SRC-04: BSI C3A v1.0: Kriterien entlang SOV-1 bis SOV-6; konkreter SOV-Bezug ist in der jeweiligen Zeile angegeben";"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
SP-10;Lieferkette & Konzentration;CloudService;Liegt eine aktuelle Liste kritischer Hardwarelieferanten und Herkunftsländer vor?;Boolean+Datum;wenn physische Cloud-Infrastruktur im Scope;Evidenz;Bedingt;Provider Evidence;2;G z.S6;SOV-5;C3A SOV-5-02;SRC-04;Single-source/außer Zielraum → vertiefen;Evidence/Exposure;Fachliche Operationalisierung aus Quelle(n);"PROVENIENZREVIEW v0.5 – C3A SOV-5-02 Hardware Dependencies | SRC-04: BSI C3A v1.0: Kriterien entlang SOV-1 bis SOV-6; konkreter SOV-Bezug ist in der jeweiligen Zeile angegeben";"Die Frage ist für den Souveränitäts-Radar eigenständig formuliert und keine wörtliche Übernahme. Die genannten Quellen begründen Prüfgegenstand bzw. Risikomechanik; Applicability, Antworttyp, Trust-Level, Follow-up und Scoring-Rolle sind Radar-Operationalisierung."
